"Libellé";"Nombre de défaillances d'entreprises par date de jugement - Données brutes - Normandie - Hébergement et restauration";"Codes"
"idBank";"001739987";""
"Période";"";""
"1990-T1";"44";"A"
"1990-T2";"64";"A"
"1990-T3";"34";"A"
"1990-T4";"41";"A"
"1991-T1";"54";"A"
"1991-T2";"49";"A"
"1991-T3";"48";"A"
"1991-T4";"58";"A"
"1992-T1";"74";"A"
"1992-T2";"48";"A"
"1992-T3";"49";"A"
"1992-T4";"83";"A"
"1993-T1";"64";"A"
"1993-T2";"54";"A"
"1993-T3";"49";"A"
"1993-T4";"77";"A"
"1994-T1";"75";"A"
"1994-T2";"61";"A"
"1994-T3";"52";"A"
"1994-T4";"72";"A"
"1995-T1";"74";"A"
"1995-T2";"72";"A"
"1995-T3";"66";"A"
"1995-T4";"86";"A"
"1996-T1";"86";"A"
"1996-T2";"72";"A"
"1996-T3";"72";"A"
"1996-T4";"96";"A"
"1997-T1";"99";"A"
"1997-T2";"75";"A"
"1997-T3";"62";"A"
"1997-T4";"78";"A"
"1998-T1";"66";"A"
"1998-T2";"92";"A"
"1998-T3";"52";"A"
"1998-T4";"63";"A"
"1999-T1";"71";"A"
"1999-T2";"51";"A"
"1999-T3";"40";"A"
"1999-T4";"59";"A"
"2000-T1";"56";"A"
"2000-T2";"44";"A"
"2000-T3";"42";"A"
"2000-T4";"61";"A"
"2001-T1";"55";"A"
"2001-T2";"60";"A"
"2001-T3";"42";"A"
"2001-T4";"61";"A"
"2002-T1";"40";"A"
"2002-T2";"48";"A"
"2002-T3";"35";"A"
"2002-T4";"57";"A"
"2003-T1";"55";"A"
"2003-T2";"64";"A"
"2003-T3";"35";"A"
"2003-T4";"52";"A"
"2004-T1";"64";"A"
"2004-T2";"63";"A"
"2004-T3";"47";"A"
"2004-T4";"53";"A"
"2005-T1";"56";"A"
"2005-T2";"54";"A"
"2005-T3";"48";"A"
"2005-T4";"54";"A"
"2006-T1";"54";"A"
"2006-T2";"51";"A"
"2006-T3";"37";"A"
"2006-T4";"63";"A"
"2007-T1";"71";"A"
"2007-T2";"60";"A"
"2007-T3";"48";"A"
"2007-T4";"75";"A"
"2008-T1";"55";"A"
"2008-T2";"68";"A"
"2008-T3";"75";"A"
"2008-T4";"87";"A"
"2009-T1";"91";"A"
"2009-T2";"93";"A"
"2009-T3";"66";"A"
"2009-T4";"78";"A"
"2010-T1";"86";"A"
"2010-T2";"67";"A"
"2010-T3";"85";"A"
"2010-T4";"77";"A"
"2011-T1";"92";"A"
"2011-T2";"84";"A"
"2011-T3";"72";"A"
"2011-T4";"103";"A"
"2012-T1";"105";"A"
"2012-T2";"80";"A"
"2012-T3";"68";"A"
"2012-T4";"92";"A"
"2013-T1";"106";"A"
"2013-T2";"88";"A"
"2013-T3";"87";"A"
"2013-T4";"95";"A"
"2014-T1";"117";"A"
"2014-T2";"81";"A"
"2014-T3";"93";"A"
"2014-T4";"92";"A"
"2015-T1";"118";"A"
"2015-T2";"108";"A"
"2015-T3";"95";"A"
"2015-T4";"107";"A"
"2016-T1";"107";"A"
"2016-T2";"105";"A"
"2016-T3";"70";"A"
"2016-T4";"98";"A"
"2017-T1";"116";"A"
"2017-T2";"75";"A"
"2017-T3";"71";"A"
"2017-T4";"86";"A"
"2018-T1";"113";"A"
"2018-T2";"90";"A"
"2018-T3";"83";"A"
"2018-T4";"95";"A"
"2019-T1";"122";"A"
"2019-T2";"83";"A"
"2019-T3";"66";"A"
"2019-T4";"82";"A"
"2020-T1";"62";"A"
"2020-T2";"45";"A"
